STT ,CHỨC NĂNG / HỆ THỐNG,Loại câu hỏi,Câu Hỏi,,Trả lời,,
,,,Nội dung,Người hỏi,Nội dung,Người phụ trách,Đầu mối làm việc
,"Receipt (vé hành khách, MCO, EMD…)",Nghiệp vụ,Hệ thống này phát sinh những loại giao dịch nào liên quan đến hóa đơn?,DUCLV,"Vé hành khách, MCO, EMD (có lý do xuất là dịch vụ) và gift card ",Đỗ Thúy Hồng,"Nga, Hằng"
,,Nghiệp vụ,Những loại User nào được phát hành hóa đơn từ hệ thống này?,,Các nhân viên bán vé/MCO/EMD/GC và Ban TCKT,,
1,,Nghiệp vụ,Khi nào thì dữ liệu từ hệ thống này cần xuất hóa đơn?,DUCLV,"- Phòng vé, dịch vụ khác qua API: realtime 
",,
2,,Kỹ thuật,"Luồng tạo dữ liệu hóa đơn để phát hành hóa đơn đang là nhập liệu trực tiếp lên hệ thống hóa đơn ? 
- Hay đang tích hợp bằng API đẩy trực tiếp sang hệ thống hóa đơn ?
- Hay đang sử dụng tool hỗ trợ xuất hóa đơn theo định kỳ ?",DUCLV,"- Phòng vé: hệ thống xuất vé 1A, nhập thủ công (nếu là chứng từ viết tay)
- Dịch vụ ngoài: API
",,
,,Nghiệp vụ,Mẫu hóa đơn phát hành từ phần mềm này?,,File gửi kèm email,,
,,Nghiệp vụ,Việc khởi tạo hóa đơn phát hành là 1 giao dịch 1 hóa đơn tại một thời điểm? Hay là Đẩy nhiều giao dịch cùng 1 lúc để tạo hóa đơn ? Nếu đẩy cùng 1 lúc thì 1 lô sẽ là bao nhiêu giao dịch? (Mapping 1 chứng từ → nhiều hóa đơn? Hay nhiều chứng từ → 1 hóa đơn?),,"- Phòng vé, API: là xuất hóa đơn tại 1 thời điểm. Có thể 1 hóa đơn có nhiều chứng từ (tối đa hơn 10 chứng từ)
",,
,,Nghiệp vụ,Trong quá trình xuất hóa đơn từ hệ thống này có gặp khó khăn hay sai lệch gì không?,DUCLV,"- Có khó khăn trong việc kiểm tra logic. User có thể xuất sai nhưng hệ thống chưa kiểm tra logic được (ví dụ: vé nội địa có thu giá cước nhưng lại không có VAT hoặc ngược lại…)
",,
4,,Nghiệp vụ,Có backdate không?,DUCLV,Không cho phép,,
5,,Nghiệp vụ,Có chỉnh sửa sau khi ký không?,DUCLV,Không cho phép,,
,,Kỹ thuật,Đã có cơ chế chống trùng hóa đơn hay chưa?,DUCLV,"Đã có, kiểm soát theo số chứng từ",,
6,,,"Đối với vé bay quốc tế (chịu thuế suất 0%) nhưng có kèm theo các phụ phí phát sinh tại Việt Nam (như phụ thu dịch vụ hệ thống - quản trị, có thể chịu thuế GTGT 8% hoặc 10%), hệ thống hiện tại đang xuất gộp chung trên 1 hóa đơn với nhiều dòng thuế suất khác nhau, hay phải tách ra làm 2 hóa đơn riêng biệt?",TUNGNT,"Đối với chuyến bay QT các phụ phí như phí quản trị hệ thống, phí nhiên liệu .....thu trên chứng từ vận chuyển đều có chung thuế suất 0% trừ phí xuất vé tại các phòng vé (service charge) thu ngoài (khi xuất HĐ) có thuế suất 8/10%. Sẽ xuất chung 1 hóa đơn nhưng tách riêng các dòng thuế suất. ",,
,,,"Các khoản thuế phí thu hộ sân bay hoặc chính phủ (ví dụ: phí soi chiếu an ninh, thuế sân bay nội địa/quốc tế) có bắt buộc phải hiển thị chi tiết từng dòng trên mẫu hóa đơn GTGT phát hành cho hành khách không?",TUNGNT,"Không bắt buộc, trên hóa đơn là tổng số thu hộ",,
,,,"Có yêu cầu hiển thị số vé (Ticket Number), số EMD hoặc PNR trực tiếp trên hóa đơn điện tử k?",HUNGTH,"Có, bắt buộc",,
