STT ,CHỨC NĂNG / HỆ THỐNG,Câu Hỏi,,Trả lời,,
,,Nội dung,Người hỏi,Nội dung,Người phụ trách,Đầu mối làm việc
,"Receipt (vé hành khách, MCO, EMD…)",Hệ thống này phát sinh những loại giao dịch nào liên quan đến hóa đơn?,DUCLV,"Vé hành khách, MCO, EMD (có lý do xuất là dịch vụ) và gift card ",Đỗ Thúy Hồng,"Nga, Hằng"
,,Những loại User nào được phát hành hóa đơn từ hệ thống này?,,Các nhân viên bán vé/MCO/EMD/GC và Ban TCKT,,
1,,Khi nào thì dữ liệu từ hệ thống này cần xuất hóa đơn?,DUCLV,"- Phòng vé, dịch vụ khác qua API: realtime 
",,
2,,Luồng tạo dữ liệu hóa đơn để phát hành hóa đơn đang là nhập liệu trực tiếp lên hệ thống hóa đơn ? Hay đang tích hợp bằng API đẩy trực tiếp sang hệ thống hóa đơn ? Hay đang sử dụng tool hỗ trợ xuất hóa đơn theo định kỳ ?,DUCLV,"- Phòng vé: hệ thống xuất vé 1A, nhập thủ công (nếu là chứng từ viết tay)
- Dịch vụ ngoài: API
",,
,,Mẫu hóa đơn phát hành từ phần mềm này?,,File gửi kèm email,,
,,Việc khởi tạo hóa đơn phát hành là 1 giao dịch 1 hóa đơn tại một thời điểm? Hay là Đẩy nhiều giao dịch cùng 1 lúc để tạo hóa đơn ? Nếu đẩy cùng 1 lúc thì 1 lô sẽ là bao nhiêu giao dịch? (Mapping 1 chứng từ → nhiều hóa đơn? Hay nhiều chứng từ → 1 hóa đơn?),,"- Phòng vé, API: là xuất hóa đơn tại 1 thời điểm. Có thể 1 hóa đơn có nhiều chứng từ (tối đa hơn 10 chứng từ)
",,
,,Trong quá trình xuất hóa đơn từ hệ thống này có gặp khó khăn hay sai lệch gì không?,DUCLV,"- Có khó khăn trong việc kiểm tra logic. User có thể xuất sai nhưng hệ thống chưa kiểm tra logic được (ví dụ: vé nội địa có thu giá cước nhưng lại không có VAT hoặc ngược lại…)
",,
4,,Có backdate không?,DUCLV,Không cho phép,,
5,,Có chỉnh sửa sau khi ký không?,DUCLV,Không cho phép,,
